iter,sh_score,ch_score,db_score,loss
50,0.49907,31393.70448,0.9369,0.00934
100,0.49987,31492.66637,0.92973,0.06327
150,0.49463,30928.77104,0.9534,0.01115
200,0.47276,28908.7994,1.01691,0.02169
250,0.49355,30639.4835,0.95896,0.02256
300,0.49548,30819.76094,0.95277,0.02267
350,0.48356,29705.33077,0.98896,0.02293
400,0.48829,30220.79387,0.97253,0.03402
450,0.48132,29528.13799,0.99278,0.02218
500,0.48108,29515.82226,0.99328,0.04105
550,0.49331,30549.17659,0.95933,0.02108
600,0.48888,30154.44526,0.97241,0.00587
650,0.49292,30506.0985,0.9603,0.02916
700,0.49312,30518.99931,0.95922,0.02667
750,0.48028,29021.5244,1.00053,0.01937
800,0.48499,29417.30738,0.9875,0.02485
850,0.48764,29647.20749,0.97984,0.01867
900,0.48268,29209.02934,0.99373,0.01881
950,0.48239,29176.86984,0.99476,0.03589
999,0.48239,29176.86984,0.99476,0.024295637384057045
